#{"t_start": 1774025425.9025102, "env_id": "ColoredChestKuka-v0"}
r,l,t
37.512916,150,108.939544
44.452576,150,109.026976
44.637101,150,109.113555
48.075327,150,109.200343
1011.042729,77,109.257524
-15.088692,150,109.340469
1011.047012,87,109.402421
43.370067,150,109.562545
74.804753,150,109.649702
39.695801,150,109.73753
21.030185,150,109.822287
80.898172,150,109.935492
79.921684,150,110.025165
1016.721682,72,110.079654
67.024148,150,110.166354
1023.15705,78,110.22179
38.234858,150,110.764774
56.391799,150,110.850715
49.34616,150,110.935557
73.768771,150,111.020994
71.032029,150,111.107744
43.056171,150,111.193193
29.422186,150,111.276408
1015.810829,85,111.400679
1016.592744,84,111.464884
61.165732,150,111.548414
48.348746,150,111.632419
37.084633,150,111.716872
42.865808,150,111.801454
53.714314,150,111.88712
1018.505004,89,111.94804
21.933666,150,112.488382
1012.956161,77,112.545371
54.609692,150,112.630211
48.416624,150,112.712266
1008.606727,79,112.769943
1017.125049,80,112.828184
53.36996,150,112.91715
57.494643,150,113.000691
36.48837,150,113.090825
1011.442458,76,113.153338
35.133721,150,113.243214
22.251063,150,113.337757
65.685231,150,113.423848
39.169193,150,113.512855
70.037708,150,113.595478
48.083998,150,114.132413
47.632824,150,114.218703
1013.057555,75,114.27659
56.431152,150,114.361945
55.20874,150,114.447317
74.9784,150,114.532619
61.756058,150,114.615541
52.506782,150,114.699048
69.48278,150,114.783305
54.913517,150,114.868026
46.050085,150,114.952402
1015.842553,77,115.006485
76.920716,150,115.095522
57.291262,150,115.180602
1012.112451,76,115.237153
34.867413,150,115.780867
72.657198,150,115.86519
1010.132976,74,115.920823
26.83436,150,116.004993
59.831561,150,116.088573
1018.922658,81,116.145317
1016.312095,80,116.20277
15.946659,150,116.285997
1014.066712,75,116.403537
63.785961,150,116.496555
46.514832,150,116.583837
41.646547,150,116.67012
60.527174,150,116.755892
1008.812433,79,116.810732
1028.239701,85,116.867586
1025.11202,86,116.925917
70.67118,150,117.007954
36.940169,150,117.54385
33.383435,150,117.630006
52.567784,150,117.713731
40.221152,150,117.795815
40.322221,150,117.883177
35.222068,150,117.965166
52.697543,150,118.047392
53.244506,150,118.1308
42.500628,150,118.294091
-9.261075,150,118.38152
47.650919,150,118.467192
20.640294,150,118.549775
1013.945848,73,118.60257
62.366418,150,118.691392
44.060133,150,119.234154
78.71426,150,119.3204
35.322654,150,119.404539
56.230422,150,119.490951
36.889924,150,119.574839
38.629789,150,119.65929
0.907755,150,119.742617
1007.681999,79,119.801238
29.411609,150,119.965316
68.158506,150,120.05007
30.238142,150,120.136831
13.56398,150,120.221333
32.572299,150,120.308868
51.56894,150,120.393962
46.472501,150,120.935069
1018.603235,77,120.993842
1009.074353,77,121.05165
47.496467,150,121.136866
1020.564248,87,121.195376
1018.167105,77,121.251264
32.300286,150,121.335401
64.039446,150,121.420524
19.26801,150,121.504159
-1.972336,150,121.593485
30.676411,150,121.679686
1006.646466,76,121.736187
35.175966,150,121.820476
1019.78936,97,121.884431
44.430554,150,121.968469
79.64305,150,122.054961
70.465685,150,122.137773
40.938148,150,122.692331
48.43298,150,122.778775
21.233657,150,122.865826
49.12376,150,122.953998
-24.885725,150,123.0391
1012.522975,80,123.095611
1016.664315,66,123.145095
42.600246,150,123.229286
39.00376,150,123.316309
38.233943,150,123.397426
48.255803,150,123.481622
19.872948,150,123.567591
1016.688765,78,123.624899
53.389185,150,123.712524
39.184499,150,123.798377
40.528987,150,124.342582
1012.186094,82,124.402403
1015.218942,76,124.458694
1012.849395,74,124.512735
1010.615235,75,124.570208
48.711674,150,124.654767
1008.165542,80,124.719657
32.34063,150,124.811778
61.940002,150,125.002848
