#{"t_start": 1774030652.557245, "env_id": "ColoredChestKuka-v0"}
r,l,t
1009.017114,85,104.143531
36.159824,150,104.232371
53.634042,150,104.318683
56.922764,150,104.431035
1015.595079,87,104.551518
-37.499619,150,104.63902
37.823272,150,104.727421
42.647007,150,104.813088
63.33265,150,104.902926
-8.838171,150,104.989545
54.276487,150,105.163424
1008.841001,76,105.696689
44.336237,150,105.783371
2.087697,150,105.868637
69.488266,150,105.956902
39.163173,150,106.045876
9.782533,150,106.132882
1013.959987,80,106.192472
42.00888,150,106.282251
21.887761,150,106.370152
52.180076,150,106.544149
24.26563,150,106.637131
-5.870384,150,106.723344
24.861201,150,106.812803
1017.463466,83,106.874919
44.174511,150,106.961514
38.614671,150,107.514009
1015.483094,79,107.572976
1011.64828,72,107.628043
-5.353132,150,107.717911
40.700735,150,107.804239
65.037786,150,107.891431
46.430066,150,107.976934
12.91949,150,108.064766
62.473043,150,108.239681
38.950367,150,108.325277
52.511795,150,108.410484
43.528755,150,108.497388
48.943098,150,108.583403
1011.638902,86,108.646429
1010.99175,86,108.70589
1013.714225,76,108.762801
46.300932,150,109.322939
1020.936389,97,109.388532
34.36839,150,109.473835
1010.347888,74,109.531221
1007.708133,84,109.590467
17.100999,150,109.675406
47.88784,150,109.761692
43.179786,150,109.849982
29.199699,150,110.024465
1017.970617,86,110.088792
13.723275,150,110.176217
28.111966,150,110.264145
33.11293,150,110.349019
64.499324,150,110.435522
40.334099,150,110.522638
49.489247,150,111.075738
15.980662,150,111.161668
39.802079,150,111.247708
47.220307,150,111.335067
21.549503,150,111.419248
54.746564,150,111.505069
36.88373,150,111.592521
1011.800178,81,111.658033
32.887513,150,111.85727
1018.425165,82,111.927094
39.289403,150,112.011966
1013.27308,76,112.071861
47.026093,150,112.160121
46.554558,150,112.243921
53.821612,150,112.328669
1010.870006,73,112.384225
1007.505143,75,112.907746
37.455477,150,112.998647
40.683506,150,113.08749
14.893899,150,113.173793
1017.382649,82,113.23326
26.410131,150,113.320368
59.346132,150,113.407571
54.231546,150,113.497476
1015.379669,85,113.558715
21.15547,150,113.713646
49.511246,150,113.811867
1014.811931,73,113.870107
11.784313,150,113.954917
36.755698,150,114.045112
1012.414471,73,114.103037
1040.58914,99,114.172156
1010.329389,79,114.230828
1012.672329,84,114.758824
